COUNTRY;CVR_NUMMER
DK;12596774
DK;20646411
DK;24208370
DK;73217717
DK;18609703
DK;87573613
DK;87377016
DK;16963038
DK;26092183
DK;55828415
DK;62756217
DK;29207313
DK;32444202
DK;28676026
DK;20214414
DK;30060946
DK;66936228
DK;26663903
DK;15252294
DK;28981783
DK;10290511
DK;28659024
DK;16987344
DK;30585739
DK;19433692
DK;14773908
DK;42997811
DK;73109310
DK;10665841
DK;25074823
DK;29148392
DK;17225898
DK;12545398
DK;62924810
DK;29772843
DK;73238315
DK;55117314
DK;27171508
DK;35310118
DK;31332745
DK;16315532
DK;53927912
DK;25921542
DK;19506991
DK;11733212
DK;14749292
DK;43405810
DK;27335659
DK;32780857
DK;32092632
DK;25896939
DK;13494177
DK;46468414
DK;62940514
DK;31713528
DK;17083287
DK;18075784
DK;63870528
DK;33392230
DK;18995433
DK;40516611
DK;31581869
DK;21093106
DK;21400947
DK;29525552
DK;26511437
DK;24208362
DK;15683481
DK;25019946
DK;37120928
DK;56973311
DK;56470417
DK;43785028
